Well_Name,Type,Well_Type,Well_Index,Perm_X_mD,Perm_Y_mD,Perm_Z_mD,Equivalent_Radius_m,Wellbore_Radius_m,Skin_Factor
EW-001,producer,vertical,1.721266e+02,20778983948177596.0,20166652494605724.0,9422350263064782.0,5.3493,0.1000,4.50
EW-002,producer,vertical,1.773431e+02,18852280566844356.0,20369414340653040.0,10652333929093570.0,5.3510,0.1000,3.80
EW-003,producer,horizontal,4.504933e+04,18712446673071164.0,19658297809784268.0,9628228531866860.0,5.3498,0.1000,-1.20
EW-004,producer,vertical,1.535686e+02,18626680603323992.0,21198758256906556.0,10030309795977194.0,4.7080,0.1000,4.20
EW-005,producer,horizontal,8.290477e+04,20967304424755356.0,21124724339832928.0,10765663615275134.0,5.3490,0.1000,-2.10
EW-006,producer,vertical,1.628903e+02,18995007504279340.0,22245608477649980.0,9893456253135370.0,5.3573,0.1000,5.10
EW-007,producer,multi_lateral,1.284180e+05,18805081292776676.0,18898087132571616.0,10666035675433184.0,5.3490,0.1000,-1.80
EW-008,producer,horizontal,6.724872e+04,23222359902594528.0,22993353349608880.0,10384172456195750.0,5.3465,0.1000,-1.50
EW-009,producer,vertical,1.872125e+02,19952132782093932.0,21918574074739752.0,9285223816166304.0,5.3520,0.1000,3.90
EW-010,producer,multi_lateral,1.367590e+05,21105989719263380.0,21371426140357684.0,10495423023405028.0,3.6588,0.1000,-2.30
IW-001,injector,vertical,1.512337e+02,18537828664659548.0,21217811826169756.0,9815838646313938.0,2.9778,0.1000,1.20
IW-002,injector,vertical,2.126209e+02,20032793312296268.0,20431978163326980.0,10520079200180740.0,4.0387,0.1000,0.80
IW-003,injector,horizontal,6.423071e+04,20610921451327860.0,20004505076598724.0,9341402025199374.0,5.3493,0.1000,-2.50
IW-004,injector,vertical,2.814062e+02,21943372821905848.0,21588133197597808.0,10503191348816820.0,5.3491,0.1000,1.00
IW-005,injector,multi_lateral,2.671524e+04,21494761356448712.0,20985767033569828.0,9266874678717530.0,3.0742,0.1000,1.50
