Well_Name,Type,Well_Type,Well_Index,Perm_X_mD,Perm_Y_mD,Perm_Z_mD,Equivalent_Radius_m,Wellbore_Radius_m,Skin_Factor
EW-001,producer,vertical,9.882140e+02,81121795479354976.0,87011168221511808.0,44399921884184320.0,3.6131,0.1000,4.50
EW-002,producer,vertical,1.782815e+03,82463519017607616.0,85728021861923488.0,39727900378473480.0,6.4099,0.1000,3.80
EW-003,producer,horizontal,2.858540e+05,89573793241621408.0,90670499396577616.0,44390899349831344.0,3.1008,0.1000,-1.20
EW-004,producer,vertical,9.029798e+02,87475548194641248.0,78550855582069392.0,43003064878581488.0,3.1691,0.1000,4.20
EW-005,producer,horizontal,4.836532e+05,84405339025579216.0,84727779348142176.0,37463852521072416.0,3.6120,0.1000,-2.10
EW-006,producer,vertical,8.680459e+02,86548029728519968.0,78549454401348944.0,43376406944407176.0,3.4572,0.1000,5.10
EW-007,producer,multi_lateral,7.913767e+05,88929454068045360.0,93858332756919024.0,40848727335780616.0,4.1258,0.1000,-1.80
EW-008,producer,horizontal,6.915443e+05,160645478026221728.0,188774867140595776.0,80315663242122048.0,3.3072,0.1000,-1.50
EW-009,producer,vertical,1.155196e+03,94028435917269920.0,86613771884518464.0,46333465020145272.0,3.6451,0.1000,3.90
EW-010,producer,multi_lateral,6.188109e+05,89544331033929280.0,84930426576872160.0,44062216152892384.0,4.3916,0.1000,-2.30
IW-001,injector,vertical,2.087926e+03,90353809439152480.0,100057619753628192.0,41769274830204400.0,4.0998,0.1000,1.20
IW-002,injector,vertical,2.881666e+03,85893533023827152.0,88263187204490336.0,40051504070184912.0,6.1905,0.1000,0.80
IW-003,injector,horizontal,3.015075e+05,91768200487013872.0,81314184458518784.0,43900536394317352.0,6.1821,0.1000,-2.50
IW-004,injector,vertical,2.591424e+03,84767406554233072.0,80164466562661552.0,39139955187781056.0,6.1027,0.1000,1.00
IW-005,injector,multi_lateral,1.001943e+05,80986286185325088.0,94424216707181856.0,46608680651684656.0,6.1855,0.1000,1.50
