Well_Name,Type,Well_Type,Well_Index,Perm_X_mD,Perm_Y_mD,Perm_Z_mD,Equivalent_Radius_m,Wellbore_Radius_m,Skin_Factor
EW-001,producer,vertical,7.719985e+02,77469413412251760.0,78788131266108464.0,37140719815134224.0,2.9596,0.1000,4.50
EW-002,producer,vertical,1.087879e+03,81530707275806080.0,90247945321194288.0,45104842213094656.0,3.5515,0.1000,3.80
EW-003,producer,horizontal,9.993034e+03,162232038858421792.0,177965873746882496.0,94077252876992816.0,3.5152,0.1000,-1.20
EW-004,producer,vertical,9.130713e+02,74589729829721168.0,78608045689890864.0,41524685689044656.0,3.5139,0.1000,4.20
EW-005,producer,horizontal,8.000080e+03,84636197303041760.0,83611445799703088.0,40271931718780576.0,3.5133,0.1000,-2.10
EW-006,producer,vertical,1.783053e-01,9506788844850.2,11130404815529.0,1091020026628.1,6.0684,0.1000,5.10
EW-007,producer,multi_lateral,1.180365e+04,73471527606978784.0,86270995278392784.0,37660193689992848.0,5.7894,0.1000,-1.80
EW-008,producer,horizontal,1.496920e+04,160989779312257728.0,162052296490839200.0,94213969061496032.0,6.1417,0.1000,-1.50
EW-009,producer,vertical,1.326940e-01,10410491228261.2,10993144341240.2,925732060429.5,3.5140,0.1000,3.90
EW-010,producer,multi_lateral,2.860006e+04,166664336863180448.0,188132992200571744.0,81661043800498576.0,3.5165,0.1000,-2.30
IW-001,injector,vertical,5.184578e+03,179486904912735488.0,160450807371238176.0,88020085730738128.0,6.1813,0.1000,1.20
IW-002,injector,vertical,3.295010e+03,158952036688896608.0,151631550690686880.0,83346909559359216.0,3.5138,0.1000,0.80
IW-003,injector,horizontal,1.302040e+00,10006845903638.4,9870982556050.2,922801524746.9,3.5134,0.1000,-2.50
IW-004,injector,vertical,5.671161e+02,32796604107823468.0,29427356739892888.0,15108284456644248.0,3.0689,0.1000,1.00
IW-005,injector,multi_lateral,1.024914e+03,24017265703809208.0,27028003309456184.0,12908552679632552.0,3.5164,0.1000,1.50
